#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1913,994,1925.752378
1330,598,1927.778173
234,126,1928.123251
610,230,1929.000108
623,282,1930.069227
1034,771,1933.023706
599,406,1934.363473
630,296,1935.309148
239,122,1935.875171
608,362,1937.196233
611,244,1937.975124
1340,671,1940.271618
233,128,1940.731366
233,128,1941.060002
607,370,1942.312157
1043,549,1944.327804
1340,716,1946.99518
1049,508,1948.734652
1057,695,1951.192069
1051,426,1952.786521
1037,688,1954.975667
620,322,1956.130852
1426,714,1958.783889
1330,634,1961.086036
620,374,1962.363653
1321,701,1964.703322
1697,754,1967.537027
613,232,1968.302684
252,106,1968.897586
1043,594,1970.825561
1436,564,1972.871413
819,494,1974.611851
1856,930,1977.733058
252,106,1978.158432
1345,605,1980.377572
1036,740,1982.8537
611,238,1983.626519
612,354,1985.066952
249,108,1985.345208
2626,1722,1991.32232
252,106,1991.617666
1328,650,1994.10609
252,106,1994.394369
1051,439,1995.815166
627,264,1996.853909
1022,1027,2000.401498
606,310,2001.401697
1050,451,2003.156563
624,332,2004.160447
1346,695,2006.772592
237,134,2007.331349
1340,721,2009.672738
1323,801,2012.438133
609,270,2013.400678
240,124,2013.734279
768,506,2015.787044
1575,794,2018.645104
249,108,2018.953278
1325,789,2021.843478
623,338,2022.904644
1681,968,2026.289771
614,234,2027.025354
612,232,2027.914978
1050,477,2029.673018
1579,836,2032.296216
249,108,2032.558514
1146,650,2034.553113
252,106,2035.074991
251,106,2035.431039
807,722,2037.905226
626,318,2039.361269
1048,483,2040.990717
238,124,2041.490061
624,312,2042.668029
605,352,2043.848328
640,554,2045.733175
763,590,2047.770382
606,226,2048.522183
1338,709,2051.301335
237,134,2051.679864
1067,499,2053.891613
1419,778,2056.572932
251,114,2057.062623
622,250,2058.214725
1437,598,2060.510832
816,546,2062.158551
1922,838,2065.035274
815,566,2066.727878
607,228,2067.407652
731,424,2069.073391
654,272,2069.825596
602,250,2070.593657
796,600,2072.560801
250,118,2073.116406
613,394,2074.252713
1692,718,2076.61026
641,286,2077.951843
235,124,2078.237305
1035,770,2080.510253
634,330,2081.679316
252,106,2081.942584
1040,661,2084.113375
1339,911,2087.00498
1039,658,2089.316513
232,134,2089.624007
1422,790,2091.960408
248,108,2092.343739
251,114,2092.607036
1351,679,2094.898456
1587,718,2097.482446
1046,522,2099.187989
611,258,2099.905266
770,536,2101.862089
1436,674,2103.842401
252,106,2104.37281
1342,731,2106.63211
1042,568,2108.223957
723,622,2110.483099
1336,691,2112.606603
743,582,2114.42814
1579,736,2117.015056
1047,524,2118.449674
250,116,2118.859792
636,302,2119.867108
1049,621,2121.805278
245,110,2122.257902
613,266,2123.187094
811,656,2125.234739
252,106,2125.479114
1048,488,2127.018945
1571,840,2129.766042
1041,653,2132.310348
235,124,2132.712273
634,332,2133.584298
1430,726,2136.120286
1040,666,2138.177855
1344,555,2139.792184
251,114,2140.190493
610,346,2141.157495
252,106,2141.836862
1162,464,2143.536993
1058,452,2145.031904
613,296,2145.826159
1421,930,2148.773265
1319,768,2151.032199
1068,591,2152.930127
613,340,2153.934861
639,320,2155.138328
1336,621,2157.055229
233,128,2157.470099
252,106,2157.744036
1413,904,2160.659533
605,262,2161.41967
1045,519,2163.262573
1348,566,2164.809107
1322,795,2167.462297
1066,517,2169.36956
1048,485,2170.711352
748,466,2172.339209
613,290,2173.291658
610,364,2174.437118
612,280,2175.219216
606,236,2176.303326
1040,643,2178.106917
1861,868,2180.877302
1039,643,2182.809104
247,108,2183.167144
1437,696,2185.432185
1050,453,2187.077567
1041,618,2189.016748
1052,414,2190.229378
607,246,2191.097697
1044,599,2193.03639
1315,897,2195.998908
632,316,2196.832878
624,398,2198.030399
1040,661,2200.302742
1045,578,2201.951823
1041,656,2204.241177
1854,948,2207.268483
818,500,2208.73938
653,282,2209.518268
1049,477,2211.192404
1053,553,2212.953531
607,232,2213.725607
640,544,2215.451236
758,584,2217.288805
1048,497,2218.95267
233,128,2219.260817
612,264,2220.394234
1347,614,2222.151864
252,106,2222.410173
737,276,2223.437272
740,510,2224.930525
1026,948,2228.034509
245,120,2228.440423
1049,444,2229.736133
611,254,2230.598798
